species_indonesia,species_english,nama_latin,nama_daerah,kelompok,jenis_perairan,jenis_konsumsi,jenis_hias,jenis_dilindungi,prioritas,search_keywords,min_images
Angel imperator,emperor angelfish,Pomacanthus imperator,kepe-kepe kambungan roti,Angel,LAUT,NON KONSUMSI,HIAS,TIDAK,HIGH,Pomacanthus imperator ; Pomacanthus imperator fish ; ikan Angel imperator ; emperor angelfish fish,50
Anggur laut,christmas three grape algae; bottlebrush green seaweed,Caulerpa webbiana,,Rumput laut,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Caulerpa webbiana ; Caulerpa webbiana fish ; ikan Anggur laut ; christmas three grape algae; bottlebrush green seaweed fish,50
Arwana,asian bonytongue,Scleropages formosus,siluk; kayangan; kelesa; naga; arwana; arowana; tengkeloso,Arwana,TAWAR,NON KONSUMSI,HIAS,YA,HIGH,Scleropages formosus ; Scleropages formosus fish ; ikan Arwana ; asian bonytongue fish,50
Arwana irian,usatralian bonytongue,Scleropages Jardinii,,ARWA,TAWAR,Tidak,Tidak,Ya,HIGH,Scleropages Jardinii ; Scleropages Jardinii fish ; ikan Arwana irian ; usatralian bonytongue fish,50
Bambangan/kakap merah,malabar red snapper,Lutjanus malabaricus,koni meinte; ine,Kakap,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,HIGH,Lutjanus malabaricus ; Lutjanus malabaricus fish ; ikan Bambangan/kakap merah ; malabar red snapper fish,50
Bandeng,milkfish,Chanos chanos,bolu (sulawesi),Bandeng,"LAUT, PAYAU, TAWAR",KONSUMSI,NON HIAS,TIDAK,HIGH,Chanos chanos ; Chanos chanos fish ; ikan Bandeng ; milkfish fish,50
Bandeng laki,longjaw bonefish; pacific bonefish,Albula argentea,cerucut,Bandeng,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Albula argentea ; Albula argentea fish ; ikan Bandeng laki ; longjaw bonefish; pacific bonefish fish,50
Bandeng lelaki,hawaiian ladyfish,Elops hawaiensis,bandeng lanang,Bandeng,"LAUT, PAYAU, TAWAR",KONSUMSI,NON HIAS,TIDAK,HIGH,Elops hawaiensis ; Elops hawaiensis fish ; ikan Bandeng lelaki ; hawaiian ladyfish fish,50
Baronang,blue-spotted spinefoot; coral rabbitfish,Siganus corallinus,benaeng; kea kuning,Baronang,LAUT,KONSUMSI,HIAS,TIDAK,HIGH,Siganus corallinus ; Siganus corallinus fish ; ikan Baronang ; blue-spotted spinefoot; coral rabbitfish fish,50
Baronang,golden-lined spinefoot,Siganus lineatus,masadar karang,Baronang,LAUT,KONSUMSI,NON HIAS,TIDAK,HIGH,Siganus lineatus ; Siganus lineatus fish ; ikan Baronang ; golden-lined spinefoot fish,50
Baronang,mottled spinefoot; black rabbitfish,Siganus fuscescens,,Baronang,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,HIGH,Siganus fuscescens ; Siganus fuscescens fish ; ikan Baronang ; mottled spinefoot; black rabbitfish fish,50
Baronang angin,streaked spinefoot,Siganus javus,benaeng; beronang tulis (tarakan); burong; ekor kuning; kea-kea; samadar cecet; samadar palsu,Baronang,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,HIGH,Siganus javus ; Siganus javus fish ; ikan Baronang angin ; streaked spinefoot fish,50
Baronang batik,vermiculate rabbitfish,Siganus vermiculatus,burong; beronang tulis,Baronang,"LAUT, PAYAU",KONSUMSI,HIAS,TIDAK,HIGH,Siganus vermiculatus ; Siganus vermiculatus fish ; ikan Baronang batik ; vermiculate rabbitfish fish,50
Baronang forktail,schooling rabbitfish; silver spinefoot; streamlined spinefoot; forktail rabbitfish,Siganus argenteus,baronang,Baronang,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,HIGH,Siganus argenteus ; Siganus argenteus fish ; ikan Baronang forktail ; schooling rabbitfish; silver spinefoot; streamlined spinefoot; forktail rabbitfish fish,50
Baronang foxface,foxface rabbitfish,Siganus vulpinus,samadar cecet,Baronang,LAUT,KONSUMSI,HIAS,TIDAK,HIGH,Siganus vulpinus ; Siganus vulpinus fish ; ikan Baronang foxface ; foxface rabbitfish fish,50
Baronang kalung,doublebar rabbitfish; barhead spinefoot,Siganus virgatus,kea-kea; kea biasa;  benaeng; samadar palsu; beronang kuning; masadar; lada,Baronang,"LAUT, PAYAU",KONSUMSI,HIAS,TIDAK,HIGH,Siganus virgatus ; Siganus virgatus fish ; ikan Baronang kalung ; doublebar rabbitfish; barhead spinefoot fish,50
Baronang kunyit,goldspotted spinefoot,Siganus puellus,sadar biasa kuning,Baronang,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,HIGH,Siganus puellus ; Siganus puellus fish ; ikan Baronang kunyit ; goldspotted spinefoot fish,50
Baronang lada,brown-spotted spinefoot,Siganus stellatus,,Baronang,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,HIGH,Siganus stellatus ; Siganus stellatus fish ; ikan Baronang lada ; brown-spotted spinefoot fish,50
Baronang manggilala,goldspotted spinefoot; yellowspotted spinefoot,Siganus punctatus,manggilala,Baronang,LAUT,KONSUMSI,HIAS,TIDAK,HIGH,Siganus punctatus ; Siganus punctatus fish ; ikan Baronang manggilala ; goldspotted spinefoot; yellowspotted spinefoot fish,50
Baronang marbled,surf parrotfish; rivulated rabbitfish; marbled spinefoot,Siganus rivulatus,baronang,Baronang,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,HIGH,Siganus rivulatus ; Siganus rivulatus fish ; ikan Baronang marbled ; surf parrotfish; rivulated rabbitfish; marbled spinefoot fish,50
Baronang susu,white-spotted spinefoot,Siganus canaliculatus,lingkis; sumadar; beronang lada; bala awes lawua; malalea; hiru; salamandar; maliate; pang-pange; samandar; kiwi susu,Baronang,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,HIGH,Siganus canaliculatus ; Siganus canaliculatus fish ; ikan Baronang susu ; white-spotted spinefoot fish,50
Baronang tompel,orange-spotted spinefoot,Siganus guttatus,barange; mulia asu; baronang hitam,Baronang,"LAUT, PAYAU",KONSUMSI,NON HIAS,TIDAK,HIGH,Siganus guttatus ; Siganus guttatus fish ; ikan Baronang tompel ; orange-spotted spinefoot fish,50
Bawal,pacu,Myloplus lucienae,,Bawal,TAWAR,NON KONSUMSI,HIAS,TIDAK,HIGH,Myloplus lucienae ; Myloplus lucienae fish ; ikan Bawal ; pacu fish,50
Bawal,pacu branco; pacu galo,Myleus altipinnis,,Bawal,TAWAR,KONSUMSI,HIAS,TIDAK,HIGH,Myleus altipinnis ; Myleus altipinnis fish ; ikan Bawal ; pacu branco; pacu galo fish,50
Bawal,myloplus arnoldi; blackhook myleus; dollar fish,Myloplus arnoldi,,Bawal,TAWAR,KONSUMSI,HIAS,TIDAK,HIGH,Myloplus arnoldi ; Myloplus arnoldi fish ; ikan Bawal ; myloplus arnoldi; blackhook myleus; dollar fish fish,50
Bawal,myleus knerii,Myleus knerii,,Bawal,TAWAR,KONSUMSI,HIAS,TIDAK,HIGH,Myleus knerii ; Myleus knerii fish ; ikan Bawal ; myleus knerii fish,50
Bawal,myleus latus,Myleus latus,,Bawal,TAWAR,KONSUMSI,HIAS,TIDAK,HIGH,Myleus latus ; Myleus latus fish ; ikan Bawal ; myleus latus fish,50
Bawal,myloplus lobatus,Myloplus lobatus,,Bawal,TAWAR,KONSUMSI,HIAS,TIDAK,HIGH,Myloplus lobatus ; Myloplus lobatus fish ; ikan Bawal ; myloplus lobatus fish,50
